,repo_name,file_path,file_url,,
1,PatrickJS/awesome-cursorrules,rules/py-fast-api/.cursorrules,https://github.com/PatrickJS/awesome-cursorrules/blob/7e4db830d65c8951463863dd25cc39b038d34e02/rules/py-fast-api/.cursorrules,,
2,CodeGuide-dev/codeguide-starter-lite,.cursor/rules/best-practices.mdc,https://github.com/CodeGuide-dev/codeguide-starter-lite/blob/a672d127269b1d4f7b4a552cf6e6e655a37125f7/.cursor/rules/best-practices.mdc,,
3,raphaelmansuy/code2prompt,.cursorrules,https://github.com/raphaelmansuy/code2prompt/blob/699eae91a5bf67dc5ab6df23fd1b2c665eb20034/.cursorrules,,
4,metaskills/experts,.cursorrules,https://github.com/metaskills/experts/blob/50ccd739b655ec4c06567561294a86b7bfbb9d75/.cursorrules,,
5,ohcnetwork/care_fe,.cursorrules,https://github.com/ohcnetwork/care_fe/blob/a125da086e34e166f18c012144097ebd25a67d9f/.cursorrules,,
6,brandon-schabel/octoprompt,.cursor/rules/project-overview.mdc,https://github.com/brandon-schabel/octoprompt/blob/0b60e20381a183d0cd5cb757c9c3af099ea83aa2/.cursor/rules/project-overview.mdc,,
7,ghuntley/groundhog,.cursor/rules/devenv-containers.mdc,https://github.com/ghuntley/groundhog/blob/3844519a70ed03738d460567f7c67553402f21d7/.cursor/rules/devenv-containers.mdc,,
8,langfuse/langfuse,.cursor/rules/frontend-features.mdc,https://github.com/langfuse/langfuse/blob/7faf0e009ff3a9be1a220573c473b799a1cea9c6/.cursor/rules/frontend-features.mdc,,
9,different-ai/note-companion,.cursorrules,https://github.com/different-ai/note-companion/blob/ee348a83eb855f4e568c49c92874dd4aa37d9a03/.cursorrules,,
10,PatrickJS/awesome-cursorrules,rules/typescript-nodejs-nextjs-app-cursorrules-prompt-fi/.cursorrules,https://github.com/PatrickJS/awesome-cursorrules/blob/7e4db830d65c8951463863dd25cc39b038d34e02/rules/typescript-nodejs-nextjs-app-cursorrules-prompt-fi/.cursorrules,,
11,cuongtl1992/mcp-dbs,.cursor/rules/esm-imports.mdc,https://github.com/cuongtl1992/mcp-dbs/blob/7fa3e2807101abdffefea8ce2ce1880547976279/.cursor/rules/esm-imports.mdc,,
12,WangQrkkk/ThinkingCursor,.cursorrules,https://github.com/WangQrkkk/ThinkingCursor/blob/7f8188043c7738cb880294ed2f34b4c45303d0f5/.cursorrules,,
13,dotnet9/CodeWF,.cursor/rules/blazor.mdc,https://github.com/dotnet9/CodeWF/blob/ed0c7f17b8bfb7f9c226569c5977edc8b139cf5a/.cursor/rules/blazor.mdc,,
14,block/ftl,.cursor/rules/typescript.mdc,https://github.com/block/ftl/blob/8cfea82b70742ff4ae7413a669bdb008ac2d211a/.cursor/rules/typescript.mdc,,
15,sparesparrow/cursor-rules,.cursor/rules/mcp/mcp-integration-rules.mdc,https://github.com/sparesparrow/cursor-rules/blob/53c530729aa2b5d37d3f7b7a065fa022db813626/.cursor/rules/mcp/mcp-integration-rules.mdc,,
16,terryyin/lizard,.cursor/rules/lizard-rule.mdc,https://github.com/terryyin/lizard/blob/bf514f113a28d7ddfd832952659b2b0207341c1d/.cursor/rules/lizard-rule.mdc,,
17,tony/django-slugify-processor,.cursor/rules/avoid-debug-loops.mdc,https://github.com/tony/django-slugify-processor/blob/f2ab14a44f748984c903bc323dd389d0d9fe421f/.cursor/rules/avoid-debug-loops.mdc,,
18,ShunsukeHayashi/Auto-coder-agent_Cursor_Roo_code,.cursor/rules/801-workflow-agile.mdc,https://github.com/ShunsukeHayashi/Auto-coder-agent_Cursor_Roo_code/blob/1d5c4d63fd8e40183f7c3f5b8d97136de3878c1c/.cursor/rules/801-workflow-agile.mdc,,
19,browserbase/stagehand,.cursorrules,https://github.com/browserbase/stagehand/blob/dc8b6b3bd6a119438801a0fe90afd4a9bcb7f269/.cursorrules,,
20,Bhartendu-Kumar/rules_template,.cursor/rules/memory.mdc,https://github.com/Bhartendu-Kumar/rules_template/blob/ebc229bd922edc607446a64c0e4b289b82e85f2e/.cursor/rules/memory.mdc,,
21,zueai/create-mcp,.cursor/rules/test-cli.mdc,https://github.com/zueai/create-mcp/blob/51f5b46d9ad004413dc5d763c19d4aaa507e68b2/.cursor/rules/test-cli.mdc,,
22,sparesparrow/cursor-rules,.cursor/mcp-schema/mcp.fbs,https://github.com/sparesparrow/cursor-rules/blob/53c530729aa2b5d37d3f7b7a065fa022db813626/.cursor/mcp-schema/mcp.fbs,,
23,alphaonelabs/alphaonelabs-education-website,.cursorrules,https://github.com/alphaonelabs/alphaonelabs-education-website/blob/8e6078314d8cbbacd2ae321d905c9b27cae36532/.cursorrules,,
24,PatrickJS/awesome-cursorrules,rules/flutter-app-expert-cursorrules-prompt-file/.cursorrules,https://github.com/PatrickJS/awesome-cursorrules/blob/7e4db830d65c8951463863dd25cc39b038d34e02/rules/flutter-app-expert-cursorrules-prompt-file/.cursorrules,,
25,sparesparrow/cursor-rules,.cursor/mcp-typescript-sdk.md,https://github.com/sparesparrow/cursor-rules/blob/53c530729aa2b5d37d3f7b7a065fa022db813626/.cursor/mcp-typescript-sdk.md,,
26,Aaronontheweb/dotnet-cursor-rules,.cursor/rules/meta.mdc,https://github.com/Aaronontheweb/dotnet-cursor-rules/blob/9be2d201482bdafca8c687359f0ef0a71895d7af/.cursor/rules/meta.mdc,,
27,bmadcode/cursor-auto-rules-agile-workflow,.cursor/templates/template-arch.md,https://github.com/bmadcode/cursor-auto-rules-agile-workflow/blob/9f6cd28458251927b6548d5dc8f9e7c04e89202b/.cursor/templates/template-arch.md,,
28,jlcases/paelladoc,.cursor/rules/instructions/07_command_reference.md,https://github.com/jlcases/paelladoc/blob/02e99aeff4e01e3f04322edc7011730eb7b3860c/.cursor/rules/instructions/07_command_reference.md,,
29,dgokcin/dotfiles,.cursor/rules/global-rules/lessons-learned-auto.mdc,https://github.com/dgokcin/dotfiles/blob/78fcb5582d7c31279c317a15a7e0b406bc60074a/.cursor/rules/global-rules/lessons-learned-auto.mdc,,
30,Wox-launcher/Wox,.cursor/rules/proj-core.mdc,https://github.com/Wox-launcher/Wox/blob/5c44fcbef0620bd98c919683ab02568feafab810/.cursor/rules/proj-core.mdc,,
31,LubomirGeorgiev/cloudflare-workers-nextjs-saas-template,.cursorrules,https://github.com/LubomirGeorgiev/cloudflare-workers-nextjs-saas-template/blob/0724c25227fd82f4d35adbf368cd3c6a30384b26/.cursorrules,,
32,hoishing/natal,.cursorrules,https://github.com/hoishing/natal/blob/c7d2e90758b979e9cd4fbf282c969a4bc72d5e16/.cursorrules,,
33,oven-sh/bun,.cursor/rules/writing-tests.mdc,https://github.com/oven-sh/bun/blob/fee911194a06554e4a9d0cb4dc5c57c1ca5db7dd/.cursor/rules/writing-tests.mdc,,
34,tony/django-docutils,.cursor/rules/git-commits.mdc,https://github.com/tony/django-docutils/blob/cb6234c0320cdbaa55c1656a8a3285bf96cb98a1/.cursor/rules/git-commits.mdc,,
35,OpenSPP/openspp-modules,.cursor/rules/00-cursor-rules-mdc.mdc,https://github.com/OpenSPP/openspp-modules/blob/aa7a32f1654f2bb6d0dab7705d099a4d23db93c8/.cursor/rules/00-cursor-rules-mdc.mdc,,
36,icantcodefyi/cattype,.cursor/rules/rule.mdc,https://github.com/icantcodefyi/cattype/blob/74ce4c15051f813000123c014fd99c81042b0108/.cursor/rules/rule.mdc,,
37,tmux-python/tmuxp,.cursor/rules/tmuxp-pytest.mdc,https://github.com/tmux-python/tmuxp/blob/1b034699e8484f3c76a8ef46f5132dcf87b38fd0/.cursor/rules/tmuxp-pytest.mdc,,
38,GatoGraphQL/GatoGraphQL,.cursorignore,https://github.com/GatoGraphQL/GatoGraphQL/blob/6ab40fbfafe9cd3e3fd8b55bbf3613473fbc5160/.cursorignore,,
39,LastBotInc/nextjs-supabase-ai-webapp,.cursor/rules/add-data-model.mdc,https://github.com/LastBotInc/nextjs-supabase-ai-webapp/blob/9d1df2a2449c5e5448989539805da838f470419f/.cursor/rules/add-data-model.mdc,,
