repo_name,week,commit_sha,dependency,version,concreteVersion,dependency_type
tact-lang/tact-template,2024-W09,2a5216756b3f2bde75131bb43693952dfe67dd78,@tact-lang/compiler,^1.2.0,1.2.0,normal
tact-lang/tact-template,2024-W09,2a5216756b3f2bde75131bb43693952dfe67dd78,@tact-lang/coverage,^0.0.8,0.0.8,normal
tact-lang/tact-template,2024-W09,2a5216756b3f2bde75131bb43693952dfe67dd78,@tact-lang/deployer,^0.2.0,0.2.0,normal
tact-lang/tact-template,2024-W09,2a5216756b3f2bde75131bb43693952dfe67dd78,@tact-lang/emulator,^4.2.3,4.2.3,normal
tact-lang/tact-template,2024-W09,2a5216756b3f2bde75131bb43693952dfe67dd78,@ton/core,0.49.2,0.49.2,normal
tact-lang/tact-template,2024-W09,2a5216756b3f2bde75131bb43693952dfe67dd78,@ton/crypto,^3.2.0,3.2.0,normal
tact-lang/tact-template,2024-W09,2a5216756b3f2bde75131bb43693952dfe67dd78,@types/jest,^29.2.4,29.5.12,normal
tact-lang/tact-template,2024-W09,2a5216756b3f2bde75131bb43693952dfe67dd78,@types/node,^18.11.14,18.19.21,normal
tact-lang/tact-template,2024-W09,2a5216756b3f2bde75131bb43693952dfe67dd78,@types/qs,^6.9.7,6.9.12,normal
tact-lang/tact-template,2024-W09,2a5216756b3f2bde75131bb43693952dfe67dd78,base64url,^3.0.1,3.0.1,normal
tact-lang/tact-template,2024-W09,2a5216756b3f2bde75131bb43693952dfe67dd78,enquirer,^2.3.6,2.4.1,normal
tact-lang/tact-template,2024-W09,2a5216756b3f2bde75131bb43693952dfe67dd78,jest,^29.3.1,29.7.0,normal
tact-lang/tact-template,2024-W09,2a5216756b3f2bde75131bb43693952dfe67dd78,open,^8.4.0,8.4.2,normal
tact-lang/tact-template,2024-W09,2a5216756b3f2bde75131bb43693952dfe67dd78,prando,^6.0.1,6.0.1,normal
tact-lang/tact-template,2024-W09,2a5216756b3f2bde75131bb43693952dfe67dd78,prettier,^2.5.1,2.8.8,normal
tact-lang/tact-template,2024-W09,2a5216756b3f2bde75131bb43693952dfe67dd78,qs,^6.11.0,6.11.2,normal
tact-lang/tact-template,2024-W09,2a5216756b3f2bde75131bb43693952dfe67dd78,@tact-lang/ton-abi,^0.0.3,0.0.3,normal
tact-lang/tact-template,2024-W09,2a5216756b3f2bde75131bb43693952dfe67dd78,@tact-lang/ton-jest,^0.0.4,0.0.4,normal
tact-lang/tact-template,2024-W09,2a5216756b3f2bde75131bb43693952dfe67dd78,ts-jest,^29.0.3,29.1.2,normal
tact-lang/tact-template,2024-W09,2a5216756b3f2bde75131bb43693952dfe67dd78,ts-node,^10.9.1,10.9.2,normal
tact-lang/tact-template,2024-W09,2a5216756b3f2bde75131bb43693952dfe67dd78,typescript,^4.9.4,4.9.5,normal
tact-lang/tact-template,2024-W18,1cd1673fd5c02ec52e1d227fd1e170316cf94cf4,@tact-lang/compiler,~1.3.0,1.3.0,normal
tact-lang/tact-template,2024-W18,1cd1673fd5c02ec52e1d227fd1e170316cf94cf4,@tact-lang/coverage,^0.0.8,0.0.8,normal
tact-lang/tact-template,2024-W18,1cd1673fd5c02ec52e1d227fd1e170316cf94cf4,@tact-lang/deployer,^0.2.0,0.2.0,normal
tact-lang/tact-template,2024-W18,1cd1673fd5c02ec52e1d227fd1e170316cf94cf4,@tact-lang/emulator,^4.2.3,4.2.3,normal
tact-lang/tact-template,2024-W18,1cd1673fd5c02ec52e1d227fd1e170316cf94cf4,@tact-lang/ton-abi,^0.0.3,0.0.3,normal
tact-lang/tact-template,2024-W18,1cd1673fd5c02ec52e1d227fd1e170316cf94cf4,@tact-lang/ton-jest,^0.0.4,0.0.4,normal
tact-lang/tact-template,2024-W18,1cd1673fd5c02ec52e1d227fd1e170316cf94cf4,@ton/core,~0.56.3,0.56.3,normal
