repo_name,cursor_commits,cursor_adoptor_percentage,cursor_adoption_time
hanyk/BayeSED3,2,100.0,2024-10-05T04:51:09
hoishing/natal,2,100.0,2024-12-21T23:08:54
Elevate-Code/better-voice-typing,5,100.0,2024-10-30T12:15:20
ericyuegu/hal,2,100.0,2025-02-28T20:11:04
angular-courses-lab/angular-debug-quest,6,100.0,2025-02-13T09:40:18
mckaywrigley/o1-xml-parser,1,100.0,2024-12-08T08:07:13
jparkerweb/llm-distillery,1,100.0,2024-09-08T22:14:35
ghuntley/groundhog,1,100.0,2025-03-03T05:09:21
Aaronontheweb/dotnet-cursor-rules,2,100.0,2025-02-18T11:41:12
Suntory-Y-Water/honox-url-app,1,100.0,2025-02-28T21:16:39
sparesparrow/cursor-rules,10,100.0,2025-02-04T08:24:15
chocoa/BouyomiChan-WebSocket-Plugin,1,100.0,2025-03-01T11:57:11
VRSEN/agency-voice-interface,5,100.0,2024-10-11T20:41:49
gerred/mcpmc,5,100.0,2024-12-22T14:27:15
jackfriks/expo-app-boilerplate,1,100.0,2025-02-20T17:11:36
devfullcycle/golangtechweek,1,100.0,2025-03-11T21:38:37
TheDarkMist/cursor-project-starter,1,100.0,2025-01-06T17:04:20
RayFernando1337/vibestamps,3,100.0,2025-03-27T21:21:41
codingforentrepreneurs/Cursor-Django,11,100.0,2024-10-03T16:50:29
1mrat/cursor-taskrunner,1,100.0,2024-08-06T11:00:15
chongdashu/mcp-made-simple,3,100.0,2025-03-17T05:55:17
ansh/deeperseeker-app,4,100.0,2025-01-27T17:10:04
langfuse/mcp-server-langfuse,1,100.0,2025-02-15T07:26:31
IndieYe/sqlwise,1,100.0,2024-12-09T21:44:13
dogokit/dogokit-akita,5,100.0,2024-09-03T16:42:52
AndreRatzenberger/cursor-rules,20,100.0,2025-03-05T03:20:32
gotray/go-python,2,100.0,2024-11-06T05:34:20
shaoruu/hi.shaoruu.io,1,100.0,2024-06-06T18:18:51
friuns2/appforge,1,100.0,2024-08-12T19:58:41
mzxrai/mcp-openai,1,100.0,2024-12-06T12:20:00
kinopeee/cursorrules,7,100.0,2025-01-16T01:30:13
blockmatic/basilic-evm,18,100.0,2024-08-15T02:52:12
him0/ai-rule-forge,9,100.0,2025-03-15T07:04:34
mckaywrigley/level-3-agent-code,1,100.0,2025-02-06T02:24:40
HaasStefan/eslint-plugin-enforce-angular-signal-call,1,100.0,2024-10-06T17:18:08
browserbase/playbook,17,100.0,2024-12-27T16:42:05
StackOneHQ/crossroads,7,100.0,2025-02-28T05:50:18
DannyMac180/mirror,1,100.0,2024-12-20T16:02:02
askjohngeorge/pipecat-lead-qualifier,8,100.0,2025-01-20T08:17:10
razbakov/ai-secretary,2,100.0,2025-01-10T13:40:46
Anemll/Anemll,5,100.0,2025-02-08T15:11:45
kitlangton/Void,1,100.0,2025-02-17T18:56:55
tayfunerbilen/prototurk-go-backend,1,100.0,2025-01-27T10:40:51
vpavlenko/web-2024-template,3,100.0,2024-10-03T08:59:40
aidaole/AiMusic,1,100.0,2024-12-08T22:24:31
clchinkc/stockchat,1,100.0,2025-02-01T04:15:55
