repo_name,month,latest_commit,commits,lines_added,lines_removed,contributors,stars,issues,issue_comments,cursor_commits,ncloc,bugs,vulnerabilities,code_smells,duplicated_lines_density,comment_lines_density,cognitive_complexity,technical_debt
0xAquaWolf/portfolio,2024-08,9b36a6c6d2916944c886fec2b1bff9ee3d0d5e0d,43,3206,822,1,8,0,0,0,1357.0,1.0,0.0,17.0,4.0,1.2,23.0,85.0
0xAquaWolf/portfolio,2024-09,adea4f847183d37ca3bb360b29b244eb66398e93,66,4973,1381,2,27,0,5,1,3177.0,1.0,0.0,52.0,1.7,3.1,74.0,243.0
0xAquaWolf/portfolio,2024-10,125161b759c1e3406791fb7cde9e624f7a0b3923,23,4734,1157,3,11,1,4,0,4352.0,3.0,0.0,104.0,4.1,6.3,106.0,432.0
0xAquaWolf/portfolio,2024-11,1d1752d835df70eb4de21a9daa6d3009ac13a774,29,3800,2185,2,2,0,9,0,4551.0,3.0,0.0,120.0,3.7,11.3,110.0,529.0
0xfrankz/Kaas,2024-02,6d3af7580e6b84a47485954c0748c605f98db8fc,8,603,102,2,0,0,0,0,1722.0,0.0,0.0,14.0,0.0,3.9,40.0,66.0
0xfrankz/Kaas,2024-03,1bd7665d4cdf3380dbaa36d891a4007e9d0a1cf9,72,7500,2624,2,0,0,0,0,3961.0,0.0,0.0,33.0,0.0,3.0,132.0,154.0
0xfrankz/Kaas,2024-04,0cf87b6fe30d58a5d4562d068559c19f3461d412,65,6807,2368,2,0,0,0,0,6189.0,0.0,0.0,38.0,7.8,2.1,193.0,237.0
0xfrankz/Kaas,2024-05,cf2b35977a3108779f76e5c9c15d87b41c5dfbf4,96,5524,2114,2,0,0,0,0,8532.0,2.0,0.0,52.0,6.9,2.2,294.0,389.0
0xfrankz/Kaas,2024-06,d71b175abba059d491a2c14c13d54be0a17a3989,43,2910,1424,2,0,0,0,0,9336.0,2.0,0.0,62.0,5.8,2.7,350.0,448.0
0xfrankz/Kaas,2024-07,af9168e0d866f57a1b02bedceadfd64b43fb36bd,81,82750,34062,2,1,0,0,0,10712.0,4.0,0.0,63.0,7.0,2.8,408.0,461.0
0xfrankz/Kaas,2024-08,6874b6d80563caa27dabd125167ca0295a77b064,63,7267,4131,2,0,0,0,1,11926.0,6.0,0.0,77.0,3.9,2.5,485.0,572.0
0xfrankz/Kaas,2024-09,1b89291b1df23dc751f538ffe0686fc8835528a9,28,8109,6825,1,3,11,12,0,12790.0,6.0,0.0,81.0,3.6,2.4,533.0,588.0
0xfrankz/Kaas,2024-10,9f576166f97f20d828823353cf064c2af4f272d3,12,20396,7439,1,11,2,2,1,12803.0,6.0,0.0,80.0,3.6,2.4,540.0,584.0
0xfrankz/Kaas,2025-02,d24d31cebe700752634c4521751643d38396e843,20,3097,1233,1,10,2,4,0,13237.0,6.0,0.0,79.0,4.9,2.4,555.0,579.0
0xfrankz/Kaas,2025-03,0362736670cdb20894d526aea804dbd7a7d37ca7,4,925,101,1,8,0,2,0,13447.0,6.0,0.0,79.0,5.0,2.4,556.0,579.0
0xfrankz/Kaas,2025-04,a0c45d9891feaabbd32f3c6d70733015a16ae430,4,682,123,2,3,0,2,0,,,,,,,,
0xsend/sendapp,2023-11,1d34cd2c4b940c703811d8bb39040a28968db58c,7,18665,3378,4,2,0,0,0,,,,,,,,
0xsend/sendapp,2023-12,ad645191e2a414b312f6d6e6bb20e80de33f0359,70,28316,18199,8,0,8,6,0,,,,,,,,
0xsend/sendapp,2024-01,9e6ddbbc2c54e92d4ed8536ccfe8441319d5fb31,207,120673,100092,8,1,1,86,0,24869.0,10.0,0.0,195.0,15.4,5.7,860.0,711.0
0xsend/sendapp,2024-02,3323bedcc2929c87171bac5124c4affd6b5f6bc3,112,85411,51108,6,2,0,94,0,31329.0,10.0,0.0,242.0,14.1,15.2,931.0,785.0
0xsend/sendapp,2024-03,de879e12e10db6e0866144496608ebaa39d646d1,171,58045,39201,10,5,0,383,0,34036.0,12.0,0.0,198.0,14.2,16.1,956.0,620.0
0xsend/sendapp,2024-04,79eeeb41af46a49395fc54926eb6e132f0b8d897,204,83271,56711,8,1,0,420,0,36214.0,15.0,1.0,224.0,13.9,15.4,1007.0,680.0
0xsend/sendapp,2024-05,cbfed5ae794edfe145f7674695bcb7654465c127,120,43398,57526,9,3,0,265,0,36710.0,14.0,1.0,251.0,14.6,15.4,1082.0,749.0
0xsend/sendapp,2024-06,74285b203940c8444ddcb68e37a1e0845a7606b2,104,144276,85328,7,5,9,427,0,43082.0,16.0,1.0,254.0,11.8,14.7,1364.0,801.0
0xsend/sendapp,2024-07,71a7b4b98d6b2668037dd3b5a6d80d33a3100e00,116,66615,43955,6,1,0,754,0,47322.0,17.0,1.0,269.0,12.6,14.6,1610.0,968.0
0xsend/sendapp,2024-08,39bd3ef1af8b2b4daf13b560816f6759e376eeda,39,11857,9731,5,3,0,256,0,47576.0,17.0,1.0,272.0,12.7,14.6,1609.0,930.0
0xsend/sendapp,2024-09,94dabcd10e222e057a8113a67ce0694431ede505,25,31376,14358,4,0,1,224,0,46788.0,17.0,1.0,286.0,12.2,14.8,1571.0,943.0
0xsend/sendapp,2024-10,4ca67fe93689524607e460172671395233f772db,125,29220,16333,7,0,0,390,0,48772.0,19.0,1.0,305.0,13.7,15.0,1688.0,967.0
0xsend/sendapp,2024-11,9940d3cd2170a22ea9bf81ed27aa2ccb41e8f0fb,91,22131,16843,6,2,0,312,0,49283.0,19.0,1.0,316.0,13.2,15.0,1736.0,1032.0
0xsend/sendapp,2024-12,74e993ad88e09092377dacc5f7e5365b4e0ae161,75,17215,8632,6,1,0,338,0,50767.0,18.0,1.0,313.0,12.8,14.7,1808.0,1043.0
0xsend/sendapp,2025-01,efd9c2d0e42f8f257a7c62c173be31d86416f20c,80,36093,33089,5,2,0,334,0,53353.0,20.0,1.0,303.0,10.9,15.5,1855.0,1124.0
0xsend/sendapp,2025-02,988a0915b9970e7424363ee72400879584dc3da0,65,13466,9759,6,1,0,470,0,54636.0,20.0,1.0,304.0,10.5,15.2,1896.0,1084.0
0xsend/sendapp,2025-03,e830abb3da996102122e08c27b3713e90f134b63,61,32158,6476,6,0,0,364,0,56424.0,21.0,1.0,324.0,10.2,14.8,1974.0,1099.0
0xsend/sendapp,2025-04,e83582e497456138a498d2e792e806e213652f95,258,222296,129822,7,0,1,514,0,,,,,,,,
1mrat/cursor-taskrunner,2024-08,53d6ca106d0525b5eec3d03eba2406488da0ddcd,4,264,8,1,9,0,0,1,209.0,1.0,0.0,1.0,0.0,5.9,28.0,5.0
514-labs/moose,2023-07,a57c2fee714c511b39084b413b414d221836cac2,11,20520,2280,3,0,0,0,0,,,,,,,,
514-labs/moose,2023-08,7dbcd5736fbe43c89e167a60e5d88e01687438de,48,4572,2161,4,0,0,0,0,,,,,,,,
514-labs/moose,2023-09,96dc8d4e830cefd71610c5e078676d9749358944,36,6016,1993,4,0,0,0,0,,,,,,,,
514-labs/moose,2023-10,882de0561cd820fc42dffa08ac8ea6d0259a6d0d,27,2760,834,5,0,0,0,0,,,,,,,,
514-labs/moose,2023-11,5fa4ea0dd3669a55202287eb75727086b93ae415,23,10877,5648,3,0,0,0,0,,,,,,,,
514-labs/moose,2023-12,c35e9aa8b3ef9184f2e461e6030dfa02f58534da,14,3782,1876,3,0,0,0,0,,,,,,,,
514-labs/moose,2024-01,5a0d86a1dc9bac8490dce14d3ba5f7d08214c293,39,12512,5357,7,2,163,216,0,6149.0,3.0,0.0,197.0,7.9,6.3,109.0,644.0
514-labs/moose,2024-02,f29a0380af85318a105a2db1c7a4d7b86316eb3b,42,17343,8830,12,0,218,193,0,7946.0,2.0,0.0,142.0,7.4,4.2,162.0,694.0
514-labs/moose,2024-03,7c2dcd72c18994e1a0c2fce74789fca9fcffec90,132,35664,18197,13,2,268,361,0,14290.0,6.0,2.0,228.0,10.9,3.7,321.0,1387.0
514-labs/moose,2024-04,06753d9f996cac68260341ac8911ba2a72833568,140,43222,29718,11,14,362,427,0,15985.0,8.0,2.0,242.0,43.2,3.0,411.0,1431.0
514-labs/moose,2024-05,99f8038247cb2fd1a2ecaae4aaeb109dbc6cd9d7,103,45881,39125,9,2,180,235,0,16881.0,10.0,2.0,254.0,41.4,3.3,445.0,1459.0
514-labs/moose,2024-06,e12bebbcb154f0e7f447d59dc69968ce70d7f0d6,102,72506,76615,8,4,146,219,0,14963.0,8.0,2.0,250.0,29.1,3.6,557.0,1457.0
514-labs/moose,2024-07,8d8b89288dd63707c9cc0bb088fb99870bc8779b,73,31547,19158,9,196,76,141,0,19208.0,11.0,2.0,294.0,28.8,3.4,719.0,1600.0
514-labs/moose,2024-08,e298dc1b3bbed7aba207e29ef3af32aa7a431456,46,4552,2325,9,30,44,78,0,19514.0,10.0,2.0,307.0,28.8,3.5,752.0,1637.0
514-labs/moose,2024-09,8f26723b8feddc0c18e37923a3249e6290c55aec,65,35691,24647,8,79,17,89,0,21346.0,12.0,2.0,343.0,27.4,3.7,844.0,1806.0
514-labs/moose,2024-10,0b6c78bf3c999e83a51c8a314431731c120f4895,59,29062,30542,9,2,23,77,0,21887.0,11.0,2.0,340.0,26.1,3.8,860.0,1815.0
514-labs/moose,2024-11,7f1bc1aedb963719766a1a106282d63fc696eb16,32,4866,1388,8,7,6,41,0,22070.0,11.0,2.0,345.0,25.8,3.9,893.0,1828.0
514-labs/moose,2024-12,4542f7d2e0b8a76eb88b22438227007e13a6ef79,34,2351,2783,8,1,82,72,0,22147.0,11.0,2.0,349.0,25.4,4.8,906.0,1862.0
514-labs/moose,2025-01,b81d30762f0a2c4973a6f9675d175d200f1cbb62,25,10020,3218,8,18,36,45,0,23118.0,11.0,2.0,359.0,24.0,5.3,988.0,1885.0
514-labs/moose,2025-02,463e9c8c79fdc10d43c1c65101d2447d07979b32,53,19690,6540,9,3,0,78,2,24003.0,11.0,2.0,372.0,23.2,5.3,1124.0,1943.0
514-labs/moose,2025-03,2b2414d6b1c352b14bf115c9765d422fc79d2efb,57,88316,65401,8,6,0,87,0,24033.0,12.0,2.0,328.0,22.4,6.3,1337.0,1662.0
514-labs/moose,2025-04,c08c38492807ef54afc8a29189e42211155c47ff,128,63670,66386,13,3,292,138,0,,,,,,,,
994AK/AI-Collection,2024-09,5d24e6fa3ef6699b3ea14b9f31adc862e03c2bbb,6,735,338,1,5,0,0,3,,0.0,0.0,0.0,,,,0.0
994AK/AI-Collection,2024-10,617ef329e04c2c69e9669348514c1f24e2b26d1d,2,228,0,1,1,0,0,0,,0.0,0.0,0.0,,,,0.0
994AK/AI-Collection,2024-11,e1feb8e8062d362dea40e94e586e067da1cb7b86,1,247,0,1,3,0,0,0,,0.0,0.0,0.0,,,,0.0
AIDC-AI/ComfyUI-Copilot,2025-01,7d2a91d3e2bf532a4b8d30d24a89d9e7afeb0edf,10,1912,2216,3,0,0,0,0,4676.0,3.0,0.0,109.0,1.8,9.1,483.0,472.0
AIDC-AI/ComfyUI-Copilot,2025-02,8533e6e15b3cd6f0714a078edbbdcd391537682f,137,18562,12177,17,531,18,44,1,6571.0,4.0,0.0,159.0,3.4,5.9,559.0,675.0
AIDC-AI/ComfyUI-Copilot,2025-03,33b2a54ce031c2736bb37ea0676190f87375bb6a,42,8085,1917,3,585,14,25,0,6742.0,4.0,0.0,161.0,3.6,6.2,585.0,684.0
AIDC-AI/ComfyUI-Copilot,2025-04,9bb3d3a352568e55e339bc01c2cbc9d2aa80d688,65,22036,29559,5,244,12,11,0,,,,,,,,
AIDotNet/Text2Sql.Net,2025-03,60f3e378febf6dac5b0c34973b0848207ee64858,42,12380,1145,2,47,0,0,1,1565.0,1.0,0.0,2.0,0.0,1.1,8.0,15.0
AIDotNet/Text2Sql.Net,2025-04,d45bf72c2bf13b61621ce09fd1ce62c3371b985a,3,18,11,1,5,0,0,0,,,,,,,,
Aaronontheweb/dotnet-cursor-rules,2025-02,a1d5ea30e745fa2ea437d9831c4b2c38219576a3,26,4560,67,1,21,6,0,2,,0.0,0.0,0.0,,,,0.0
Aaronontheweb/dotnet-cursor-rules,2025-03,9be2d201482bdafca8c687359f0ef0a71895d7af,2,84,38,1,16,4,0,0,,0.0,0.0,0.0,,,,0.0
AdirD/nestjs-context-logger,2024-12,aabe8dba68154a06e6e0cd25dac64f5d483dd48e,36,5047,1256,1,23,0,0,0,1421.0,0.0,0.0,23.0,5.1,2.5,41.0,288.0
AdirD/nestjs-context-logger,2025-01,52b94ff187c7ca4e714ecef9983917498951c124,17,1800,826,2,6,2,7,0,1765.0,0.0,0.0,21.0,4.0,4.3,47.0,286.0
AdirD/nestjs-context-logger,2025-02,76f9d3b1934f28410431f0e60c799266a30d4c4e,1,2,2,1,1,1,1,0,1765.0,0.0,0.0,21.0,4.0,4.3,47.0,286.0
AdirD/nestjs-context-logger,2025-03,a918731655c03b0e12d216ffa7997e935c1ea51d,3,174,45,1,2,6,3,1,1821.0,0.0,0.0,34.0,3.9,5.0,47.0,467.0
AdirD/nestjs-context-logger,2025-04,889d1a816030f2c523922f0b76164a16c0c43c6d,3,180,23,3,3,0,1,0,,,,,,,,
AlbertoBasalo/ng-lab,2023-11,180ad76a2f78861a35815082fc952789e218b96b,91,13455,5633,1,3,1,0,0,,,,,,,,
AlbertoBasalo/ng-lab,2023-12,05944e70aeb5d1f5bb877d35b1d20668cf128613,73,5614,4141,1,5,0,0,0,,,,,,,,
AlbertoBasalo/ng-lab,2024-01,5200fb072039af4c9108478d63b596c5b1bdfed0,8,54267,52948,1,2,0,0,0,2465.0,0.0,0.0,47.0,0.0,12.7,37.0,91.0
AlbertoBasalo/ng-lab,2024-02,7098bee0beefcc420de26f206234a58109da378b,66,40452,33342,1,2,0,0,0,1046.0,0.0,0.0,17.0,0.0,17.2,16.0,32.0
AlbertoBasalo/ng-lab,2024-03,8df81ba93a7a3eca572191140b1fa9c6fe9178b4,54,23996,28161,1,2,0,0,0,1322.0,0.0,0.0,41.0,0.0,23.7,16.0,85.0
AlbertoBasalo/ng-lab,2024-04,71c8b0f721dd009f6d7c107764528b6043f92614,21,2061,578,1,2,0,0,0,1910.0,0.0,0.0,58.0,0.0,27.0,28.0,119.0
AlbertoBasalo/ng-lab,2024-05,f2d9b944037c2cce128612234cbfaa2deb75f824,6,351,339,1,1,0,0,0,1911.0,0.0,0.0,58.0,0.0,27.1,28.0,123.0
