package,version
@tact-lang/compiler,1.2.0
@tact-lang/coverage,0.0.8
@tact-lang/deployer,0.2.0
@tact-lang/emulator,4.2.3
@ton/core,0.49.2
@ton/crypto,3.2.0
@types/jest,29.5.12
@types/node,18.19.21
@types/qs,6.9.12
base64url,3.0.1
enquirer,2.4.1
jest,29.7.0
open,8.4.2
prando,6.0.1
prettier,2.8.8
qs,6.11.2
@tact-lang/ton-abi,0.0.3
@tact-lang/ton-jest,0.0.4
ts-jest,29.1.2
ts-node,10.9.2
typescript,4.9.5
@tact-lang/compiler,1.3.0
@ton/core,0.56.3
@ton/ton,13.11.1
@types/node,18.19.31
@types/qs,6.9.15
qs,6.12.1
@tact-lang/compiler,1.4.0
@tact-lang/emulator,4.3.0
@ton/ton,13.11.2
@types/node,18.19.39
ts-jest,29.1.5
@tact-lang/compiler,~1.4.4
@ton/crypto,3.3.0
@types/node,18.19.44
qs,6.13.0
ts-jest,29.2.4
@tact-lang/compiler,1.4.4
@ton/sandbox,0.20.0
@ton/test-utils,0.4.2
@types/node,18.19.45
ts-jest,29.2.5
@tact-lang/compiler,~1.5.0
@types/jest,29.5.13
@types/node,18.19.50
@types/qs,6.9.16
@nowarp/misti,0.4.2
@tact-lang/compiler,1.5.2
@types/node,18.19.55
@nowarp/misti,0.5.0
@types/jest,29.5.14
@types/node,18.19.63
@tact-lang/compiler,1.5.3
@types/node,18.19.68
@types/qs,6.9.17
qs,6.13.1
@types/node,18.19.70
@types/node,18.19.74
@types/qs,6.9.18
qs,6.14.0
eslint,9.19.0
typescript-eslint,8.22.1-alpha.7
globals,13.24.0
@tact-lang/compiler,1.5.4
@types/node,18.19.75
eslint,9.20.0
typescript-eslint,8.23.1-alpha.6
@tact-lang/compiler,^1.6.0
@types/node,18.19.76
eslint,9.21.0
typescript-eslint,8.24.2-alpha.3
@nowarp/misti,~0.7.1
@tact-lang/compiler,^1.6.1
@types/node,18.19.78
ts-jest,29.2.6
typescript-eslint,8.25.1-alpha.9
@nowarp/misti,0.7.1
@tact-lang/compiler,^1.6.3
@ton/core,0.60.1
@ton/sandbox,0.27.1
@types/node,18.19.80
eslint,9.22.0
typescript-eslint,8.26.1-alpha.3
@tact-lang/compiler,^1.6.4
typescript-eslint,8.26.2-alpha.4
@tact-lang/compiler,^1.6.5
@types/node,18.19.81
eslint,9.23.0
typescript-eslint,8.27.1-alpha.2
react,^18
react-dom,^18
next,14.2.6
typescript,^5
@types/node,^20
@types/react,^18
@types/react-dom,^18
postcss,^8
tailwindcss,3.4.10
eslint,^8
eslint-config-next,14.2.6
@headlessui/react,2.1.3
@heroicons/react,2.1.5
@octokit/rest,21.0.2
@radix-ui/react-accordion,1.2.0
